timestamp,averageCohesion,averageAlignment,averageSeparation,averageMigration,averageObstacleAvoidance,deltaObstacle,camera
2024-12-19 16:12:47,0,0,0,0,0,0,-2.506443E-08
2024-12-19 16:12:47,0,0,0,0,0,0,1.580801E-08
2024-12-19 16:12:47,0,0,0,0,0,0,1.201977E-07
2024-12-19 16:12:47,0,0,0,0,0,0,1.670546E-07
2024-12-19 16:12:47,0,0,0,0,0,0,2.690411E-07
2024-12-19 16:12:47,0,0,0,0,0,0,3.716563E-07
2024-12-19 16:12:47,0,0,0,0,0,0,4.689722E-07
2024-12-19 16:12:48,0,0,0,0,0,0,4.724749E-07
2024-12-19 16:12:48,0,0,0,0,0,0,7.284141E-07
2024-12-19 16:12:48,0,0,0,0,0,0,8.949412E-07
2024-12-19 16:12:48,0,0,0,0,0,0,0.001301953
2024-12-19 16:12:48,0,0,0,0,0,0,0.01823023
2024-12-19 16:12:48,0,0,0,0,0,0,0.05825078
2024-12-19 16:12:48,0,0,0,0,0,0,0.1685624
2024-12-19 16:12:48,0,0,0,0,0,0,0.2955853
2024-12-19 16:12:49,0,0,0,0,0,0,0.4347937
2024-12-19 16:12:49,0,0,0,0,0,0,0.6685795
2024-12-19 16:12:49,0,0,0,0,0,0,0.8726932
2024-12-19 16:12:49,0,0,0,0,0,0,1.093035
2024-12-19 16:12:49,0,0,0,0,0,0,1.32928
2024-12-19 16:12:49,0,0,0,0,0,0,1.662769
2024-12-19 16:12:49,0,0,0,0,0,0,2.016955
2024-12-19 16:12:49,0,0,0,0,0,0,2.267219
2024-12-19 16:12:49,0,0,0,0,0,0,2.462818
2024-12-19 16:12:50,0,0,0,0,0,0,2.642023
2024-12-19 16:12:50,0,0,0,0,0,0,2.876774
2024-12-19 16:12:50,0,0,0,0,0,0,3.05601
2024-12-19 16:12:50,0,0,0,0,0,0,3.238257
2024-12-19 16:12:50,0,0,0,0,0,0,3.499606
2024-12-19 16:12:50,0,0,0,0,0,0,3.777348
2024-12-19 16:12:50,0,0,0,0,0,0,4.173821
2024-12-19 16:12:50,0,0,0,0,0,0,4.433
2024-12-19 16:12:51,0,0,0,0,0,0,4.752082
2024-12-19 16:12:51,0,0,0,0,0,0,5.103541
2024-12-19 16:12:51,0,0,0,0,0,0,5.418651
2024-12-19 16:12:51,0,0,0,0,0,0,5.901385
2024-12-19 16:12:51,0,0,0,0,0,0,6.238163
2024-12-19 16:12:51,0,0,0,0,0,0,6.757655
2024-12-19 16:12:51,0,0,0,0,0,0,7.182289
2024-12-19 16:12:51,0,0,0,0,0,0,7.547718
2024-12-19 16:12:52,0,0,0,0,0,0,7.915845
2024-12-19 16:12:52,0,0,0,0,0,0,8.490465
2024-12-19 16:12:52,0,0,0,0,0,0,8.874186
2024-12-19 16:12:52,0,0,0,0,0,0,9.336671
2024-12-19 16:12:52,0,0,0,0,0,0,9.728392
2024-12-19 16:12:52,0,0,0,0,0,0,10.11688
2024-12-19 16:12:52,0,0,0,0,0,0,10.70526
2024-12-19 16:12:52,0,0,0,0,0,0,11.09059
2024-12-19 16:12:52,0,0,0,0,0,0,11.6714
2024-12-19 16:12:53,0,0,0,0,0,0,12.12707
2024-12-19 16:12:53,0,0,0,0,0,0,12.5047
2024-12-19 16:12:53,0,0,0,0,0,0,13.0767
2024-12-19 16:12:53,0,0,0,0,0,0,13.46232
2024-12-19 16:12:53,0,0,0,0,0,0,14.0667
2024-12-19 16:12:53,0,0,0,0,0,0,14.51543
2024-12-19 16:12:53,0,0,0,0,0,0,14.90928
2024-12-19 16:12:53,0,0,0,0,0,0,15.52478
2024-12-19 16:12:54,0,0,0,0,0,0,15.92931
2024-12-19 16:12:54,0,0,0,0,0,0,16.55814
2024-12-19 16:12:54,0,0,0,0,0,0,17.02333
2024-12-19 16:12:54,0,0,0,0,0,0,17.43519
2024-12-19 16:12:54,0,0,0,0,0,0,17.8462
2024-12-19 16:12:54,0,0,0,0,0,0,18.39435
2024-12-19 16:12:54,0,0,0,0,0,0,18.94442
2024-12-19 16:12:54,0,0,0,0,0,0,19.42574
2024-12-19 16:12:55,0,0,0,0,0,0,19.83051
2024-12-19 16:12:55,0,0,0,0,0,0,20.38813
2024-12-19 16:12:55,0,0,0,0,0,0,20.8733
2024-12-19 16:12:55,0,0,0,0,0,0,21.29498
2024-12-19 16:12:55,0,0,0,0,0,0,21.70999
2024-12-19 16:12:55,0,0,0,0,0,0,22.29928
2024-12-19 16:12:55,0,0,0,0,0,0,22.71391
2024-12-19 16:12:55,0,0,0,0,0,0,23.25962
2024-12-19 16:12:55,0,0,0,0,0,0,23.81883
2024-12-19 16:12:56,0,0,0,0,0,0,24.37342
2024-12-19 16:12:56,0,0,0,0,0,0,25.07043
2024-12-19 16:12:56,0,0,0,0,0,0,25.4868
2024-12-19 16:12:56,0,0,0,0,0,0,25.91444
2024-12-19 16:12:56,0,0,0,0,0,0,26.31275
2024-12-19 16:12:56,0,0,0,0,0,0,26.87818
2024-12-19 16:12:56,0,0,0,0,0,0,27.35179
2024-12-19 16:12:56,0,0,0,0,0,0,27.7642
2024-12-19 16:12:57,0,0,0,0,0,0,28.3172
2024-12-19 16:12:57,0,0,0,0,0,0,29.0274
2024-12-19 16:12:57,0,0,0,0,0,0,29.30821
2024-12-19 16:12:57,0,0,0,0,0,0,29.30821
2024-12-19 16:12:57,0,0,0,0,0,0,29.30821
2024-12-19 16:12:57,0,0,0,0,0,0,29.30821
2024-12-19 16:12:57,0,0,0,0,0,0,29.30821
2024-12-19 16:12:57,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:58,0,0,0,0,0,0,29.30821
2024-12-19 16:12:59,0,0,0,0,0,0,29.30821
2024-12-19 16:12:59,0,0,0,0,0,0,29.30821
2024-12-19 16:12:59,0,0,0,0,0,0,29.30821
2024-12-19 16:12:59,0,0,0,0,0,0,29.30821
2024-12-19 16:12:59,0,0,0,0,0,0,29.30821
2024-12-19 16:12:59,0,0,0,0,0,0,29.30821
2024-12-19 16:12:59,0,0,0,0,0,0,29.30821
2024-12-19 16:12:59,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:00,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:01,0,0,0,0,0,0,29.30821
2024-12-19 16:13:02,0,0,0,0,0,0,29.30821
2024-12-19 16:13:02,0,0,0,0,0,0,29.30821
2024-12-19 16:13:02,0,0,0,0,0,0,29.30821
2024-12-19 16:13:02,0,0,0,0,0,0,29.30821
2024-12-19 16:13:02,0,0,0,0,0,0,29.30821
2024-12-19 16:13:02,0,0,0,0,0,0,29.30821
2024-12-19 16:13:02,0,0,0,0,0,0,29.30821
2024-12-19 16:13:02,0,0,0,0,0,0,29.30821
2024-12-19 16:13:03,0,0,0,0,0,0,29.30821
2024-12-19 16:13:03,0,0,0,0,0,0,29.30821
2024-12-19 16:13:03,0,0,0,0,0,0,29.30821
2024-12-19 16:13:03,0,0,0,0,0,0,29.30821
2024-12-19 16:13:03,0,0,0,0,0,0,29.30821
2024-12-19 16:13:03,0,0,0,0,0,0,29.30821
2024-12-19 16:13:03,0,0,0,0,0,0,29.30821
2024-12-19 16:13:03,0,0,0,0,0,0,29.30821
2024-12-19 16:13:04,0,0,0,0,0,0,29.30821
2024-12-19 16:13:04,0,0,0,0,0,0,29.30821
2024-12-19 16:13:04,0,0,0,0,0,0,29.30821
2024-12-19 16:13:04,0,0,0,0,0,0,29.30821
2024-12-19 16:13:04,0,0,0,0,0,0,29.30821
2024-12-19 16:13:04,0,0,0,0,0,0,29.30821
2024-12-19 16:13:04,0,0,0,0,0,0,29.30821
2024-12-19 16:13:04,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:05,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:06,0,0,0,0,0,0,29.30821
2024-12-19 16:13:07,0,0,0,0,0,0,29.30821
2024-12-19 16:13:07,0,0,0,0,0,0,29.30821
2024-12-19 16:13:07,0,0,0,0,0,0,29.30821
2024-12-19 16:13:07,0,0,0,0,0,0,29.30821
2024-12-19 16:13:07,0,0,0,0,0,0,29.30821
2024-12-19 16:13:07,0,0,0,0,0,0,29.30821
2024-12-19 16:13:07,0,0,0,0,0,0,29.30821
2024-12-19 16:13:07,0,0,0,0,0,0,29.30821
2024-12-19 16:13:08,0,0,0,0,0,0,29.30821
2024-12-19 16:13:08,0,0,0,0,0,0,29.30821
2024-12-19 16:13:08,0,0,0,0,0,0,29.30821
2024-12-19 16:13:08,0,0,0,0,0,0,29.30821
2024-12-19 16:13:08,0,0,0,0,0,0,53.51514
2024-12-19 16:13:08,0,0,0,0,0,0,53.51514
2024-12-19 16:13:08,0,0,0,0,0,0,53.51514
2024-12-19 16:13:08,0,0,0,0,0,0,53.51514
2024-12-19 16:13:09,0,0,0,0,0,0,53.51514
2024-12-19 16:13:09,0,0,0,0,0,0,53.51514
2024-12-19 16:13:09,0,0,0,0,0,0,53.51514
2024-12-19 16:13:09,0,0,0,0,0,0,53.51514
2024-12-19 16:13:09,0,0,0,0,0,0,53.51514
2024-12-19 16:13:09,0,0,0,0,0,0,53.51514
2024-12-19 16:13:09,0,0,0,0,0,0,53.51514
2024-12-19 16:13:09,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:10,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:11,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:12,0,0,0,0,0,0,53.51514
2024-12-19 16:13:13,0,0,0,0,0,0,53.51514
2024-12-19 16:13:13,0,0,0,0,0,0,53.51514
2024-12-19 16:13:13,0,0,0,0,0,0,53.51514
2024-12-19 16:13:13,0,0,0,0,0,0,53.51514
2024-12-19 16:13:13,0,0,0,0,0,0,53.51514
2024-12-19 16:13:13,0,0,0,0,0,0,53.51514
2024-12-19 16:13:13,0,0,0,0,0,0,53.51514
2024-12-19 16:13:13,0,0,0,0,0,0,53.51514
2024-12-19 16:13:14,0,0,0,0,0,0,53.51514
2024-12-19 16:13:14,0,0,0,0,0,0,53.51514
2024-12-19 16:13:14,0,0,0,0,0,0,53.51514
2024-12-19 16:13:14,0,0,0,0,0,0,53.51514
2024-12-19 16:13:14,0,0,0,0,0,0,53.51514
2024-12-19 16:13:14,0,0,0,0,0,0,53.51514
2024-12-19 16:13:14,0,0,0,0,0,0,53.51514
2024-12-19 16:13:14,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:15,0,0,0,0,0,0,53.51514
2024-12-19 16:13:16,0,0,0,0,0,0,53.51514
2024-12-19 16:13:16,0,0,0,0,0,0,53.51514
2024-12-19 16:13:16,0,0,0,0,0,0,53.51514
2024-12-19 16:13:16,0,0,0,0,0,0,53.51514
2024-12-19 16:13:16,0,0,0,0,0,0,53.51514
2024-12-19 16:13:16,0,0,0,0,0,0,53.51514
2024-12-19 16:13:16,0,0,0,0,0,0,53.51514
2024-12-19 16:13:16,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:17,0,0,0,0,0,0,53.51514
2024-12-19 16:13:18,0,0,0,0,0,0,53.51514
2024-12-19 16:13:18,0,0,0,0,0,0,53.51514
2024-12-19 16:13:18,0,0,0,0,0,0,53.51514
2024-12-19 16:13:18,0,0,0,0,0,0,53.51514
2024-12-19 16:13:18,0,0,0,0,0,0,53.51514
2024-12-19 16:13:18,0,0,0,0,0,0,53.51514
2024-12-19 16:13:18,0,0,0,0,0,0,53.51514
2024-12-19 16:13:18,0,0,0,0,0,0,53.51514
2024-12-19 16:13:19,0,0,0,0,0,0,53.51514
2024-12-19 16:13:19,0,0,0,0,0,0,53.51514
2024-12-19 16:13:19,0,0,0,0,0,0,53.51514
2024-12-19 16:13:19,0,0,0,0,0,0,53.51514
2024-12-19 16:13:19,0,0,0,0,0,0,53.51514
2024-12-19 16:13:19,0,0,0,0,0,0,53.51514
2024-12-19 16:13:19,0,0,0,0,0,0,58.41583
2024-12-19 16:13:19,0,0,0,0,0,0,58.41583
2024-12-19 16:13:19,0,0,0,0,0,0,58.41583
2024-12-19 16:13:20,0,0,0,0,0,0,58.41583
2024-12-19 16:13:20,0,0,0,0,0,0,58.41583
2024-12-19 16:13:20,0,0,0,0,0,0,58.41583
2024-12-19 16:13:20,0,0,0,0,0,0,58.41583
2024-12-19 16:13:20,0,0,0,0,0,0,58.41583
2024-12-19 16:13:20,0,0,0,0,0,0,58.41583
2024-12-19 16:13:20,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:21,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:22,0,0,0,0,0,0,58.41583
2024-12-19 16:13:23,0,0,0,0,0,0,58.41583
2024-12-19 16:13:23,0,0,0,0,0,0,58.41583
2024-12-19 16:13:23,0,0,0,0,0,0,58.41583
2024-12-19 16:13:23,0,0,0,0,0,0,58.41583
2024-12-19 16:13:23,0,0,0,0,0,0,58.41583
2024-12-19 16:13:23,0,0,0,0,0,0,58.41583
2024-12-19 16:13:23,0,0,0,0,0,0,58.41583
2024-12-19 16:13:23,0,0,0,0,0,0,58.41583
2024-12-19 16:13:24,0,0,0,0,0,0,58.41583
2024-12-19 16:13:24,0,0,0,0,0,0,58.41583
2024-12-19 16:13:24,0,0,0,0,0,0,58.41583
2024-12-19 16:13:24,0,0,0,0,0,0,58.41583
2024-12-19 16:13:24,0,0,0,0,0,0,58.41583
2024-12-19 16:13:24,0,0,0,0,0,0,58.41583
2024-12-19 16:13:24,0,0,0,0,0,0,58.41583
2024-12-19 16:13:24,0,0,0,0,0,0,58.41583
2024-12-19 16:13:25,0,0,0,0,0,0,58.41583
2024-12-19 16:13:25,0,0,0,0,0,0,58.41583
2024-12-19 16:13:25,0,0,0,0,0,0,58.41583
2024-12-19 16:13:25,0,0,0,0,0,0,58.41583
2024-12-19 16:13:25,0,0,0,0,0,0,58.41583
2024-12-19 16:13:25,0,0,0,0,0,0,58.41583
2024-12-19 16:13:25,0,0,0,0,0,0,58.41583
2024-12-19 16:13:25,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:26,0,0,0,0,0,0,58.41583
2024-12-19 16:13:27,0,0,0,0,0,0,58.41583
2024-12-19 16:13:27,0,0,0,0,0,0,58.41583
2024-12-19 16:13:27,0,0,0,0,0,0,58.41583
2024-12-19 16:13:27,0,0,0,0,0,0,58.41583
2024-12-19 16:13:27,0,0,0,0,0,0,58.41583
2024-12-19 16:13:27,0,0,0,0,0,0,58.41583
2024-12-19 16:13:27,0,0,0,0,0,0,58.41583
2024-12-19 16:13:27,0,0,0,0,0,0,58.41583
2024-12-19 16:13:28,0,0,0,0,0,0,58.41583
2024-12-19 16:13:28,0,0,0,0,0,0,58.41583
2024-12-19 16:13:28,0,0,0,0,0,0,58.41583
2024-12-19 16:13:28,0,0,0,0,0,0,58.41583
2024-12-19 16:13:28,0,0,0,0,0,0,58.41583
2024-12-19 16:13:28,0,0,0,0,0,0,58.41583
2024-12-19 16:13:28,0,0,0,0,0,0,58.41583
2024-12-19 16:13:28,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:29,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
2024-12-19 16:13:30,0,0,0,0,0,0,58.41583
